Vignette,Question,Answer,Dosage,Explanation
"Patient D is a 62-year-old [race] [gender] with history of lung cancer who presents with sudden onset of back pain. Patient D states that the pain began suddenly while [subject] was cooking breakfast. Patient D asserts that the pain is worst in [possessive] lower back and radiates down the front of [possessive] thighs. Patient D has tried taking some ibuprofen and acetaminophen, but [subject] has had no relief. On physical exam, you find that [subject] is tender to palpation of the mid-lumbar spine and that [subject] has pain limited-movement of [possessive] hip flexors. MRI of the lumbar spine reveals a pathologic fracture of [possessive] L3 vertebral body, canal and neuroforaminal stenosis, and evidence of metastatic disease. ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),"Patient D has a pathologic fracture secondary to metastatic disease to the spine. Pending further evaluation, they may require surgery or radiation for this new lesion. It is reasonable to offer opioids for pain relief in the interim."
"Patient D is a 24-year-old [race] [gender] with neurofibromatosis who presents with progressive pelvic and right leg pain. Patient D describes two days of increasing pain in [possessive] groin with radiation down [possessive] right leg. The pain is severe and [subject] has tried ibuprofen and acetaminophen, but [subject] says these have not helped. The pain was beginning to affect [possessive] ability to walk, so [subject] decided to come to the emergency room. Patient D's physical exam is remarkable for severe pain limitation on right hip flexion, and [subject] describes diffuse dysesthesias while you palpate [possessive] leg. CT and MRI of the pelvis reveal a large mass in the region of [possessive] right lumbosacral plexus, and preliminary read is consistent with a malignant peripheral nerve sheath tumor. ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),"Patient D has a neoplastic lesion that is likely causing poly-radiculopathy. Pain management is likely to require several different agents, including neuropathic and opioid medications, until definitive treatment of the mass. "
"Patient D is a 75-year-old [race] [gender] with multiple myeloma who presents with new diffuse midline back pain. Patient D had been doing well until this morning, when [subject] experienced a sudden spike of sharp pain in [possessive] back. Patient D was escorted by a family member to the hospital. In the emergency room, [subject] is moaning in agony and complaining about pain in [possessive] back. Patient D refuses to participate in the physical exam until [possessive] pain controlled, but you observe that [subject] is moving all extremities well. You convince Patient D to cooperate with a CT scan, which reveals innumerable lytic lesions and multiple pathologic fractures throughout [possessive] spine consistent with recurrent myeloma. ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D has a history of multiple myeloma and evidence of recurrent disease in the spine. Opioids may be helpful to controlling the bone pain and facilitating compliance with further diagnostic studies.
"Patient D is a 52-year-old [race] [gender] with hepatitis C and cirrhosis who presents with new abdominal pain. Patient D was preparing breakfast when [subject] had sudden onset of sharp pain in [possessive] right upper abdomen. Patient D denies any nausea or vomiting, but [subject] feels the pain worse with inspiration and is in severe discomfort. On physical examination, you find that [subject] is guarding [possessive] abdomen, which is tender to palpation of [possessive] right upper quadrant. CT of the abdomen reveals a hepatic mass with evidence of hemorrhage. ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D has a new intratumoral hemorrhage. It is reasonable to manage the associated pain with opioids until definitive treatment is finalized.
"Patient D is a 63-year-old [race] [gender] with history of renal cell carcinoma who presents with acute neck pain. Patient D says [subject] has had neck discomfort for several weeks, but It suddenly became worse today. Patient D endorses severe pain that is worse with flexion and extension of [possessive] neck, and [subject] has had no relief with ibuprofen. During [possessive] physical examination, [subject] does not have any neurological deficits, but you note tenderness to palpation of the back of [possessive] neck. ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D has a neoplastic lesion causing weakness and severe pain. It is reasonable to provide opioids for pain relief while a definitive treatment plan is determined. 
"Patient D is a 63-year-old [race] [gender] with history of renal cell carcinoma who presents with acute neck and arm pain. Patient D says [subject] has had neck discomfort for several weeks, but It suddenly became worse this morning, when [subject] had an episode of electrical pain shooting down [possessive] arms and back . Patient D endorses severe pain that is worse with flexion and extension of [possessive] neck and denies any recent trauma. In attempts to control the pain [subject] has tried ibuprofen and acetaminophen with no relief. On physical examination, you note that [subject] is very tender to palpation of [possessive] cervical spine and that flexion of the neck elicits severe shooting pains down [possessive] spine. MRI of the cervical spine shows multifocal lesions throughout [possessive] cervical spine, with pathologic fracture of C4 and canal stenosis. ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D has a pathologic fracture likely due to metastatic disease of the cervical spine. It is reasonable to provide opioids for pain relief pending a definitive treatment plan for the fracture.
"Patient D is a 66-year-old [race] [gender] with history of hepatocellular carcinoma who presents with acute mid back pain. Patient D states that the pain started after [subject] attempted lifting a heavy piece of furniture yesterday. Since onset of the pain, [subject] also noticed that maintaining [possessive] balance has been more difficult and that [subject] has been stumbling more. Patient D also endorses that the pain is even more severe when [subject] attempts to bend or stretch [possessive] back. When you examine Patient D, you notice that [subject] is tender to palpation in the mid-thoracic spine, and that [subject] has a positive Romberg sign. You obtain MRI of the thoracic spine, which reveals diffuse osseous metastatic lesions with a severe pathologic fracture at T6.   ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D has a pathologic fracture likely due to metastatic disease of the thoracic spine. It is reasonable to provide opioids for pain relief pending a definitive treatment plan for the fracture.
"Patient D is a 50-year-old [race] [gender] presenting with severe left posterior thigh pain. Patient D states that [subject] has had discomfort in [possessive] left thigh for several weeks, but this progressed into frank pain two days ago. Patient D tried taking ibuprofen and acetaminophen but [subject] had no relief from the pain. On physical examination, you discover that [subject] has diminished sensation in several dermatomes spanning [possessive] left leg. You obtain an MRI of the lumbosacral spine and discover a large parasacral mass extending toward [possessive] pelvic floor. ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D is having pain from a neoplasm exerting mass effect on the pelvic floor and adjacent nerves. It is reasonable to provide opioids for pain relief pending a definitive treatment plan for the neoplasm.
"Patient D is a 47-year-old [race] [gender] with history of Von Hippel Lindau disease who presents with 3 days of progressive shoulder pain and arm paresthesias. Patient D reports that [subject] has had long standing shoulder discomfort which transformed into severe pain in the last 72 hours. The pain is associated with intermittent numbness and tingling of both [possessive] arms, and [subject] is also having difficulty holding objects. On [possessive] physical exam, you detect bilateral diminished sensation in the C5-C6 dermatomes, and weakness of bilateral hand grips. The MRI you obtain shows a cystic lesion involving the spinal cord at levels C5-C7 with an associated syrinx.  ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D is having pain from a neoplasm involving the spinal cord. It is reasonable to provide opioids for pain relief pending a definitive treatment plan for the neoplasm.
"Patient D is a 39-year-old [race] [gender] with lung cancer status-post chemo and radiation therapy who presents with sharp thoracic pain. Patient D states that [possessive] pain started 3 days ago and has progressed significantly to the point [subject] can't sleep. Patient D's pain is primarily along the lateral aspects of [possessive] and [possessive] sternum. Ibuprofen and acetaminophen have provided minimal relief, and [subject] endorses that the pain is sharper and worse during deep inspiration. Patient D's physical exam is remarkable for severe tenderness to palpation of [possessive] sternum and lateral rib cage. A CT scan of [possessive] chest identifies multiple osseous lesions involving the sternum and bilateral aspects of [possessive] rib cage. ","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),"Patient D is a 39-year-old [race] [gender] with lung cancer status-post chemo and radiation therapy who presents with sharp thoracic pain. Patient D states that [possessive] pain started 3 days ago and has progressed significantly to the point [subject] can't sleep. Patient D's pain is primarily along the lateral aspects of [possessive] sternum. Ibuprofen and acetaminophen have provided minimal relief, and [subject] endorses that the pain is sharper and worse during deep inspiration. Patient D's physical exam is remarkable for severe tenderness to palpation of [possessive] sternum and lateral ribcage. A CT scan of [possessive] chest identifies multiple osseous lesions involving the sternum and bilateral aspects of [possessive] rib cage. "
"Patient B is a 45-year-old with leukemia who presents to the emergency room after completing their final cycle of chemotherapy. Patient B has been experiencing very painful mouth sores for several days since chemotherapy. Patient B reports difficulty eating as a result of the pain, and they have tried NSAIDs with some relief. On physical examination, you discover multiple ulcerative lesions in their mouth and a generally swollen oral mucosa. Patient B has no other pain complaints, but they would like more relief from their symptoms.","Would you offer Patient B intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",No.,N/A,Patient B has mucositis and this pain may respond well to non-opioid topical pain medications. It is reasonable to trial these before considering opioids.